Graph_ID,Cell_ID_1,Cell_ID_2
run_5612_fov_1,1,3
run_5612_fov_1,1,9
run_5612_fov_1,1,1474
run_5612_fov_1,1,1476
run_5612_fov_1,1,1477
run_5612_fov_1,1,1481
run_5612_fov_1,1,1483
run_5612_fov_1,2,4
run_5612_fov_1,2,9
run_5612_fov_1,2,19
run_5612_fov_1,2,1474
run_5612_fov_1,2,1475
run_5612_fov_1,2,1479
run_5612_fov_1,3,6
run_5612_fov_1,3,1477
run_5612_fov_1,4,5
run_5612_fov_1,4,13
run_5612_fov_1,4,1475
run_5612_fov_1,4,1479
run_5612_fov_1,5,7
run_5612_fov_1,5,11
run_5612_fov_1,5,13
run_5612_fov_1,5,21
run_5612_fov_1,5,1475
run_5612_fov_1,5,1491
run_5612_fov_1,6,12
run_5612_fov_1,6,14
run_5612_fov_1,6,25
run_5612_fov_1,7,8
run_5612_fov_1,7,11
run_5612_fov_1,7,13
run_5612_fov_1,7,18
run_5612_fov_1,7,21
run_5612_fov_1,7,1491
run_5612_fov_1,8,10
run_5612_fov_1,8,11
run_5612_fov_1,8,15
run_5612_fov_1,8,18
run_5612_fov_1,8,21
run_5612_fov_1,9,19
run_5612_fov_1,9,22
run_5612_fov_1,9,1474
run_5612_fov_1,9,1476
run_5612_fov_1,9,1479
run_5612_fov_1,9,1481
run_5612_fov_1,9,1483
run_5612_fov_1,9,1486
run_5612_fov_1,9,1492
run_5612_fov_1,10,15
run_5612_fov_1,10,17
run_5612_fov_1,10,18
run_5612_fov_1,11,15
run_5612_fov_1,11,18
run_5612_fov_1,11,21
run_5612_fov_1,11,30
run_5612_fov_1,11,1491
run_5612_fov_1,12,14
run_5612_fov_1,12,24
run_5612_fov_1,12,25
run_5612_fov_1,12,1482
run_5612_fov_1,12,1485
run_5612_fov_1,12,1488
run_5612_fov_1,13,27
run_5612_fov_1,13,1475
run_5612_fov_1,13,1479
run_5612_fov_1,13,1491
run_5612_fov_1,14,24
run_5612_fov_1,14,25
run_5612_fov_1,15,17
run_5612_fov_1,15,18
run_5612_fov_1,15,28
run_5612_fov_1,16,17
run_5612_fov_1,16,23
run_5612_fov_1,16,26
run_5612_fov_1,17,18
run_5612_fov_1,17,26
run_5612_fov_1,17,28
run_5612_fov_1,17,41
run_5612_fov_1,17,42
run_5612_fov_1,18,21
run_5612_fov_1,18,28
run_5612_fov_1,18,30
run_5612_fov_1,19,22
run_5612_fov_1,19,1479
run_5612_fov_1,19,1481
run_5612_fov_1,19,1486
run_5612_fov_1,19,1492
run_5612_fov_1,20,25
run_5612_fov_1,20,35
run_5612_fov_1,20,47
run_5612_fov_1,20,1477
run_5612_fov_1,20,1483
run_5612_fov_1,20,1487
run_5612_fov_1,21,28
run_5612_fov_1,21,30
run_5612_fov_1,21,38
run_5612_fov_1,21,1491
run_5612_fov_1,22,27
run_5612_fov_1,22,45
run_5612_fov_1,22,48
run_5612_fov_1,22,1479
run_5612_fov_1,22,1481
run_5612_fov_1,22,1486
run_5612_fov_1,22,1492
run_5612_fov_1,23,26
run_5612_fov_1,23,29
run_5612_fov_1,23,31
run_5612_fov_1,23,32
run_5612_fov_1,24,25
run_5612_fov_1,24,54
run_5612_fov_1,24,1485
run_5612_fov_1,24,1488
run_5612_fov_1,24,1495
run_5612_fov_1,25,35
run_5612_fov_1,25,40
run_5612_fov_1,25,1495
run_5612_fov_1,26,29
run_5612_fov_1,26,32
run_5612_fov_1,26,44
run_5612_fov_1,27,43
run_5612_fov_1,27,45
run_5612_fov_1,27,1491
run_5612_fov_1,28,30
run_5612_fov_1,28,41
run_5612_fov_1,28,42
run_5612_fov_1,29,31
run_5612_fov_1,29,32
run_5612_fov_1,29,52
run_5612_fov_1,30,38
run_5612_fov_1,30,43
run_5612_fov_1,30,57
run_5612_fov_1,30,66
run_5612_fov_1,30,1491
run_5612_fov_1,31,32
run_5612_fov_1,31,34
run_5612_fov_1,31,39
run_5612_fov_1,31,52
run_5612_fov_1,31,1498
run_5612_fov_1,32,49
run_5612_fov_1,32,52
run_5612_fov_1,33,46
run_5612_fov_1,33,65
run_5612_fov_1,33,1484
run_5612_fov_1,33,1489
run_5612_fov_1,33,1493
run_5612_fov_1,33,1497
run_5612_fov_1,33,1500
run_5612_fov_1,33,1501
run_5612_fov_1,34,39
run_5612_fov_1,34,53
run_5612_fov_1,34,61
run_5612_fov_1,34,1498
run_5612_fov_1,35,40
run_5612_fov_1,35,47
run_5612_fov_1,35,63
run_5612_fov_1,35,1495
run_5612_fov_1,36,50
run_5612_fov_1,36,58
run_5612_fov_1,36,1490
run_5612_fov_1,36,1499
run_5612_fov_1,36,1502
run_5612_fov_1,37,48
run_5612_fov_1,37,55
run_5612_fov_1,37,1481
run_5612_fov_1,37,1483
run_5612_fov_1,37,1486
run_5612_fov_1,37,1487
run_5612_fov_1,37,1492
run_5612_fov_1,38,43
run_5612_fov_1,38,57
run_5612_fov_1,38,60
run_5612_fov_1,38,66
run_5612_fov_1,38,1491
run_5612_fov_1,39,52
run_5612_fov_1,39,61
run_5612_fov_1,39,70
run_5612_fov_1,39,1498
run_5612_fov_1,40,47
run_5612_fov_1,40,54
run_5612_fov_1,40,63
run_5612_fov_1,40,1495
run_5612_fov_1,41,42
run_5612_fov_1,41,44
run_5612_fov_1,41,57
run_5612_fov_1,41,1509
run_5612_fov_1,42,44
run_5612_fov_1,42,72
run_5612_fov_1,42,1509
run_5612_fov_1,43,60
run_5612_fov_1,43,66
run_5612_fov_1,43,1491
run_5612_fov_1,44,49
run_5612_fov_1,44,84
run_5612_fov_1,44,1509
run_5612_fov_1,45,48
run_5612_fov_1,45,60
run_5612_fov_1,45,62
run_5612_fov_1,46,51
run_5612_fov_1,46,67
run_5612_fov_1,46,1489
run_5612_fov_1,46,1493
run_5612_fov_1,46,1494
run_5612_fov_1,46,1500
run_5612_fov_1,47,55
run_5612_fov_1,47,63
run_5612_fov_1,47,79
run_5612_fov_1,48,55
run_5612_fov_1,48,62
run_5612_fov_1,48,77
run_5612_fov_1,48,1492
run_5612_fov_1,49,52
run_5612_fov_1,49,69
run_5612_fov_1,49,81
run_5612_fov_1,50,1490
run_5612_fov_1,50,1497
run_5612_fov_1,50,1499
run_5612_fov_1,50,1501
run_5612_fov_1,50,1502
run_5612_fov_1,50,1506
run_5612_fov_1,51,56
run_5612_fov_1,51,67
run_5612_fov_1,51,1494
run_5612_fov_1,51,1503
run_5612_fov_1,51,1505
run_5612_fov_1,52,69
run_5612_fov_1,52,70
run_5612_fov_1,52,1498
run_5612_fov_1,53,61
run_5612_fov_1,53,64
run_5612_fov_1,53,73
run_5612_fov_1,54,56
run_5612_fov_1,54,63
run_5612_fov_1,54,71
run_5612_fov_1,54,74
run_5612_fov_1,54,1494
run_5612_fov_1,54,1495
run_5612_fov_1,55,79
run_5612_fov_1,55,1486
run_5612_fov_1,55,1492
run_5612_fov_1,55,1508
run_5612_fov_1,56,71
run_5612_fov_1,56,74
run_5612_fov_1,56,1488
run_5612_fov_1,56,1494
run_5612_fov_1,56,1503
run_5612_fov_1,56,1505
run_5612_fov_1,57,66
run_5612_fov_1,57,72
run_5612_fov_1,57,80
run_5612_fov_1,58,59
run_5612_fov_1,58,85
run_5612_fov_1,58,1499
run_5612_fov_1,58,1502
run_5612_fov_1,58,1510
run_5612_fov_1,59,68
run_5612_fov_1,59,1510
run_5612_fov_1,60,62
run_5612_fov_1,60,66
run_5612_fov_1,60,78
run_5612_fov_1,60,80
run_5612_fov_1,61,70
run_5612_fov_1,61,73
run_5612_fov_1,61,82
run_5612_fov_1,61,1498
run_5612_fov_1,62,77
run_5612_fov_1,62,78
run_5612_fov_1,62,87
run_5612_fov_1,63,71
run_5612_fov_1,63,76
run_5612_fov_1,63,1495
run_5612_fov_1,64,73
run_5612_fov_1,64,75
run_5612_fov_1,64,82
run_5612_fov_1,64,88
run_5612_fov_1,65,67
run_5612_fov_1,65,89
run_5612_fov_1,65,90
run_5612_fov_1,65,1497
run_5612_fov_1,65,1500
run_5612_fov_1,65,1501
run_5612_fov_1,65,1507
run_5612_fov_1,66,78
run_5612_fov_1,66,80
run_5612_fov_1,67,89
run_5612_fov_1,67,94
run_5612_fov_1,67,1500
run_5612_fov_1,67,1503
run_5612_fov_1,67,1505
run_5612_fov_1,67,1507
run_5612_fov_1,68,97
run_5612_fov_1,68,101
run_5612_fov_1,68,103
run_5612_fov_1,68,1504
run_5612_fov_1,68,1510
run_5612_fov_1,68,1513
run_5612_fov_1,69,70
run_5612_fov_1,69,81
run_5612_fov_1,69,92
run_5612_fov_1,69,96
run_5612_fov_1,69,106
run_5612_fov_1,69,1498
run_5612_fov_1,70,73
run_5612_fov_1,70,92
run_5612_fov_1,70,96
run_5612_fov_1,70,1498
run_5612_fov_1,71,74
run_5612_fov_1,71,86
run_5612_fov_1,71,102
run_5612_fov_1,71,1495
run_5612_fov_1,71,1503
run_5612_fov_1,72,84
run_5612_fov_1,72,91
run_5612_fov_1,72,99
run_5612_fov_1,72,109
run_5612_fov_1,72,1509
run_5612_fov_1,73,82
run_5612_fov_1,73,92
run_5612_fov_1,73,1498
run_5612_fov_1,74,86
run_5612_fov_1,74,102
run_5612_fov_1,74,1503
run_5612_fov_1,74,1505
run_5612_fov_1,75,88
run_5612_fov_1,75,95
run_5612_fov_1,75,105
run_5612_fov_1,75,115
run_5612_fov_1,76,79
run_5612_fov_1,76,86
run_5612_fov_1,76,110
run_5612_fov_1,76,111
run_5612_fov_1,77,87
run_5612_fov_1,77,93
run_5612_fov_1,77,104
run_5612_fov_1,77,107
run_5612_fov_1,77,119
run_5612_fov_1,77,1508
run_5612_fov_1,78,80
run_5612_fov_1,78,87
run_5612_fov_1,78,116
run_5612_fov_1,78,123
run_5612_fov_1,79,83
run_5612_fov_1,79,1508
run_5612_fov_1,80,99
run_5612_fov_1,80,116
run_5612_fov_1,80,124
run_5612_fov_1,81,84
run_5612_fov_1,81,96
run_5612_fov_1,81,106
run_5612_fov_1,81,113
run_5612_fov_1,81,114
run_5612_fov_1,82,88
run_5612_fov_1,82,92
run_5612_fov_1,82,105
run_5612_fov_1,82,118
run_5612_fov_1,83,104
run_5612_fov_1,83,111
run_5612_fov_1,83,126
run_5612_fov_1,83,1508
run_5612_fov_1,84,91
run_5612_fov_1,84,109
run_5612_fov_1,84,113
run_5612_fov_1,84,114
run_5612_fov_1,84,1509
run_5612_fov_1,85,97
run_5612_fov_1,85,98
run_5612_fov_1,85,1502
run_5612_fov_1,85,1506
run_5612_fov_1,85,1510
run_5612_fov_1,85,1513
run_5612_fov_1,85,1516
run_5612_fov_1,86,102
run_5612_fov_1,86,110
run_5612_fov_1,86,1528
run_5612_fov_1,87,107
run_5612_fov_1,87,123
run_5612_fov_1,87,1526
run_5612_fov_1,88,95
run_5612_fov_1,88,105
run_5612_fov_1,88,115
run_5612_fov_1,88,128
run_5612_fov_1,89,90
run_5612_fov_1,89,94
run_5612_fov_1,89,108
run_5612_fov_1,89,1500
run_5612_fov_1,89,1501
